GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020,AR5AA1970,AR5AA1980,AR5AA1990,AR5AA2000,AR5AA2010
"G0400190","Arizona","04","040","Pima County","019","0190",351667,531443,666880,843746,980263,1043433,110785,195459,261792,332350,388660
"G0400210","Arizona","04","040","Pinal County","021","0210",67916,90918,116379,179727,375770,425264,18096,28411,39154,61364,125590
"G0400230","Arizona","04","040","Santa Cruz County","023","0230",13966,20459,29676,38381,47420,47669,3817,5999,8808,11809,15437
"G0400250","Arizona","04","040","Yavapai County","025","0250",36733,68145,107714,167517,211033,236209,12999,26599,44778,70171,90903
"G0400270","Arizona","04","040","Yuma County","027","0270",60827,90554,106895,160026,195751,203881,17586,29848,35791,53848,64767
"G0500010","Arkansas","05","050","Arkansas County","001","0010",23347,24175,21653,20749,19019,17149,7500,8909,8389,8457,8005
"G0500030","Arkansas","05","050","Ashley County","003","0030",24976,26538,24319,24209,21853,19062,7535,9061,8890,9384,8765
"G0500050","Arkansas","05","050","Baxter County","005","0050",15319,27409,31186,38386,41513,41627,5800,11181,13486,17052,18748
"G0500070","Arkansas","05","050","Benton County","007","0070",50476,78115,97499,153406,221339,284333,16916,28622,37555,58212,82087
"G0500090","Arkansas","05","050","Boone County","009","0090",19073,26067,28297,33948,36903,37373,6654,9781,11131,13851,15120
"G0500110","Arkansas","05","050","Bradley County","011","0110",12778,13803,11793,12600,11508,10545,4229,5040,4545,4834,4673
"G0500130","Arkansas","05","050","Calhoun County","013","0130",5573,6079,5826,5744,5368,4739,1769,2121,2185,2317,2262
"G0500150","Arkansas","05","050","Carroll County","015","0150",12301,16203,18654,25357,27446,28260,4565,6431,7550,10189,11393
"G0500170","Arkansas","05","050","Chicot County","017","0170",18164,17793,15713,14117,11800,10208,5477,5993,5557,5205,4579
"G0500190","Arkansas","05","050","Clark County","019","0190",21537,23326,21437,23546,22995,21446,6608,8134,7907,8912,8783
"G0500210","Arkansas","05","050","Clay County","021","0210",18771,20616,18107,17609,16083,14552,6511,7911,7504,7417,6845
"G0500230","Arkansas","05","050","Cleburne County","023","0230",10349,16909,19411,24046,25970,24711,3617,6405,7926,10190,11078
"G0500250","Arkansas","05","050","Cleveland County","025","0250",6605,7868,7781,8571,8689,7550,2145,2769,2868,3273,3416
"G0500270","Arkansas","05","050","Columbia County","027","0270",25952,26644,25691,25603,24552,22801,8197,9535,9638,9981,9759
"G0500290","Arkansas","05","050","Conway County","029","0290",16805,19505,19151,20336,21273,20715,5299,6800,7179,7967,8463
"G0500310","Arkansas","05","050","Craighead County","031","0310",52068,63239,68956,82148,96443,111231,16572,22334,26285,32301,37291
"G0500330","Arkansas","05","050","Crawford County","033","0330",25677,36892,42493,53247,61948,60133,8174,12566,15251,19702,23447
"G0500350","Arkansas","05","050","Crittenden County","035","0350",48106,49499,49939,50866,50902,48163,13255,15701,17120,18471,19026
"G0500370","Arkansas","05","050","Cross County","037","0370",19783,20434,19225,19526,17870,16833,5703,6631,6754,7391,7002
"G0500390","Arkansas","05","050","Dallas County","039","0390",10022,10515,9614,9210,8116,6482,3182,3735,3600,3519,3280
"G0500410","Arkansas","05","050","Desha County","041","0410",18761,19760,16798,15341,13008,11395,5646,6640,5957,5922,5321
"G0500430","Arkansas","05","050","Drew County","043","0430",15157,17910,17369,18723,18509,17350,4619,6200,6342,7337,7360
"G0500450","Arkansas","05","050","Faulkner County","045","0450",31572,46192,60006,86014,113237,123498,9281,15489,21325,31882,42614
"G0500470","Arkansas","05","050","Franklin County","047","0470",11301,14705,14897,17771,18125,17097,3656,5164,5578,6882,7037
"G0500490","Arkansas","05","050","Fulton County","049","0490",7699,9975,10037,11642,12245,12075,2647,3765,4010,4810,5196
"G0500510","Arkansas","05","050","Garland County","051","0510",54131,70531,73397,88068,96024,100180,20096,28171,30836,37813,40994
"G0500530","Arkansas","05","050","Grant County","053","0530",9711,13008,13948,16464,17853,17958,3120,4504,5118,6241,6933
"G0500550","Arkansas","05","050","Greene County","055","0550",24765,30744,31804,37331,42090,45736,8329,11228,12325,14750,16425
"G0500570","Arkansas","05","050","Hempstead County","057","0570",19308,23635,21621,23587,22609,20065,6493,8578,8212,8959,8839
"G0500590","Arkansas","05","050","Hot Spring County","059","0590",21963,26819,26115,30353,32923,33040,7203,9683,10115,12004,12664
"G0500610","Arkansas","05","050","Howard County","061","0610",11412,13459,13569,14300,13789,12785,3798,4818,4975,5471,5365
"G0500630","Arkansas","05","050","Independence County","063","0630",22723,30147,31192,34233,36647,37938,7740,10901,11846,13467,14391
"G0500650","Arkansas","05","050","Izard County","065","0650",7381,10768,11364,13249,13696,13577,2620,4284,4684,5440,5731
"G0500670","Arkansas","05","050","Jackson County","067","0670",20452,21646,18944,18418,17997,16755,6609,7786,7361,6971,6724
"G0500690","Arkansas","05","050","Jefferson County","069","0690",85329,90718,85487,84278,77435,67260,25714,30588,30001,30555,28873
"G0500710","Arkansas","05","050","Johnson County","071","0710",13630,17423,18221,22781,25540,25749,4761,6395,7059,8738,9812
"G0500730","Arkansas","05","050","Lafayette County","073","0730",10018,10213,9643,8559,7645,6308,3180,3587,3584,3434,3150
"G0500750","Arkansas","05","050","Lawrence County","075","0750",16320,18447,17457,17774,17415,16216,5533,6797,6857,7108,6938
"G0500770","Arkansas","05","050","Lee County","077","0770",18884,15539,13053,12580,10424,8600,5199,4942,4578,4182,3624
"G0500790","Arkansas","05","050","Lincoln County","079","0790",12913,13369,13690,14492,14134,12941,3437,3918,3796,4265,4207
"G0500810","Arkansas","05","050","Little River County","081","0810",11194,13952,13966,13628,13171,12026,3469,4735,5150,5465,5411
"G0500830","Arkansas","05","050","Logan County","083","0830",16789,20144,20557,22486,22353,21131,5596,7059,7628,8693,8704
"G0500850","Arkansas","05","050","Lonoke County","085","0850",26249,34518,39268,52828,68356,74015,8020,11408,13866,19262,25295
"G0500870","Arkansas","05","050","Madison County","087","0870",9453,11373,11618,14243,15717,16521,3132,4094,4392,5463,6174
"G0500890","Arkansas","05","050","Marion County","089","0890",7000,11334,12001,16140,16653,16826,2566,4311,4970,6776,7411
"G0500910","Arkansas","05","050","Miller County","091","0910",33385,37766,38467,40443,43462,42600,10830,13476,14273,15637,17219
"G0500930","Arkansas","05","050","Mississippi County","093","0930",62060,59517,57525,51979,46480,40685,18292,19757,20420,19349,17741
"G0500950","Arkansas","05","050","Monroe County","095","0950",15657,14052,11333,10254,8149,6799,4703,4920,4361,4105,3481
"G0500970","Arkansas","05","050","Montgomery County","097","0970",5821,7771,7841,9245,9487,8484,2056,2922,3062,3785,4000
"G0500990","Arkansas","05","050","Nevada County","099","0990",10111,11097,10101,9955,8997,8310,3415,3980,3798,3893,3697
"G0501010","Arkansas","05","050","Newton County","101","1010",5844,7756,7666,8608,8330,7225,1890,2718,2818,3500,3571
