GISJOIN,GEOID,STATE,COUNTY,Persons_1970,Persons_1980,Persons_1990,Persons_2000,Persons_2010,Persons_2020,Households_1970,Households_1980,Households_1990,Households_2000,Households_2010,Households_2020
G0500250,US05025,Arkansas,Cleveland County,6605,7868,7781,8571,8689,7550,2145,2769,2868,3273,3416,3101
G0500270,US05027,Arkansas,Columbia County,25952,26644,25691,25603,24552,22801,8197,9535,9638,9981,9759,9082
G0500290,US05029,Arkansas,Conway County,16805,19505,19151,20336,21273,20715,5299,6800,7179,7967,8463,8387
G0500310,US05031,Arkansas,Craighead County,52068,63239,68956,82148,96443,111231,16572,22334,26285,32301,37291,43221
G0500330,US05033,Arkansas,Crawford County,25677,36892,42493,53247,61948,60133,8174,12566,15251,19702,23447,22986
G0500350,US05035,Arkansas,Crittenden County,48106,49499,49939,50866,50902,48163,13255,15701,17120,18471,19026,18885
G0500370,US05037,Arkansas,Cross County,19783,20434,19225,19526,17870,16833,5703,6631,6754,7391,7002,6711
G0500390,US05039,Arkansas,Dallas County,10022,10515,9614,9210,8116,6482,3182,3735,3600,3519,3280,2770
G0500410,US05041,Arkansas,Desha County,18761,19760,16798,15341,13008,11395,5646,6640,5957,5922,5321,4891
G0500430,US05043,Arkansas,Drew County,15157,17910,17369,18723,18509,17350,4619,6200,6342,7337,7360,7133
G0500450,US05045,Arkansas,Faulkner County,31572,46192,60006,86014,113237,123498,9281,15489,21325,31882,42614,47622
G0500470,US05047,Arkansas,Franklin County,11301,14705,14897,17771,18125,17097,3656,5164,5578,6882,7037,6706
G0500490,US05049,Arkansas,Fulton County,7699,9975,10037,11642,12245,12075,2647,3765,4010,4810,5196,4991
G0500510,US05051,Arkansas,Garland County,54131,70531,73397,88068,96024,100180,20096,28171,30836,37813,40994,42997
G0500530,US05053,Arkansas,Grant County,9711,13008,13948,16464,17853,17958,3120,4504,5118,6241,6933,7091
G0500550,US05055,Arkansas,Greene County,24765,30744,31804,37331,42090,45736,8329,11228,12325,14750,16425,17673
G0500570,US05057,Arkansas,Hempstead County,19308,23635,21621,23587,22609,20065,6493,8578,8212,8959,8839,7992
G0500590,US05059,Arkansas,Hot Spring County,21963,26819,26115,30353,32923,33040,7203,9683,10115,12004,12664,12473
G0500610,US05061,Arkansas,Howard County,11412,13459,13569,14300,13789,12785,3798,4818,4975,5471,5365,5096
G0500630,US05063,Arkansas,Independence County,22723,30147,31192,34233,36647,37938,7740,10901,11846,13467,14391,14934
G0500650,US05065,Arkansas,Izard County,7381,10768,11364,13249,13696,13577,2620,4284,4684,5440,5731,5494
G0500670,US05067,Arkansas,Jackson County,20452,21646,18944,18418,17997,16755,6609,7786,7361,6971,6724,6203
G0500690,US05069,Arkansas,Jefferson County,85329,90718,85487,84278,77435,67260,25714,30588,30001,30555,28873,26264
G0500710,US05071,Arkansas,Johnson County,13630,17423,18221,22781,25540,25749,4761,6395,7059,8738,9812,9902
G0500730,US05073,Arkansas,Lafayette County,10018,10213,9643,8559,7645,6308,3180,3587,3584,3434,3150,2842
G0500750,US05075,Arkansas,Lawrence County,16320,18447,17457,17774,17415,16216,5533,6797,6857,7108,6938,6514
G0500770,US05077,Arkansas,Lee County,18884,15539,13053,12580,10424,8600,5199,4942,4578,4182,3624,3103
G0500790,US05079,Arkansas,Lincoln County,12913,13369,13690,14492,14134,12941,3437,3918,3796,4265,4207,3807
